 days  miles  receipts  expected  predicted    error  abs_error
  5.0  644.0   2383.17   1785.53      778.8 -1006.73    1006.73
  5.0  781.0   2114.27   1789.85      806.2  -983.65     983.65
  7.0 1176.0   2489.13   1921.16      950.0  -971.16     971.16
  6.0  372.0   2494.69   1742.34      774.4  -967.94     967.94
  7.0 1109.0   2397.29   1917.57      950.0  -967.57     967.57
  5.0  895.0   2329.69   1791.96      829.0  -962.96     962.96
  5.0 1010.0   2054.21   1810.37      850.0  -960.37     960.37
  6.0 1193.0   2241.50   1839.47      900.0  -939.47     939.47
  4.0  862.0   2335.55   1698.94      772.4  -926.54     926.54
  7.0  776.0   2447.82   1826.93      905.2  -921.73     921.73
  4.0  886.0   2401.28   1698.00      777.2  -920.80     920.80
  7.0 1086.0   2319.81   1858.36      950.0  -908.36     908.36
  6.0  751.0   2085.98   1757.81      850.2  -907.61     907.61
 11.0 1106.0   2250.54   2050.62     1150.0  -900.62     900.62
  4.0 1000.0   2355.34   1699.56      800.0  -899.56     899.56
  5.0  503.0   2335.55   1649.42      750.6  -898.82     898.82
  4.0 1113.0   2103.82   1695.08      800.0  -895.08     895.08
  5.0  586.0   2135.36   1661.61      767.2  -894.41     894.41
  5.0 1004.0   2367.63   1743.85      850.0  -893.85     893.85
  7.0  987.0   2164.10   1839.67      947.4  -892.27     892.27
  4.0 1194.0   2250.51   1691.15      800.0  -891.15     891.15
  3.0  769.0   2497.93   1587.80      703.8  -884.00     884.00
  7.0  381.0   2106.96   1705.27      826.2  -879.07     879.07
  7.0  381.0   2342.27   1705.24      826.2  -879.04     879.04
  9.0  938.0   2224.29   1913.87     1037.6  -876.27     876.27
 14.0  530.0   2028.06   2079.14     1206.0  -873.14     873.14
  5.0  659.0   2083.15   1645.06      781.8  -863.26     863.26
  5.0 1116.0   2460.46   1711.97      850.0  -861.97     861.97
  5.0  905.0   2317.31   1691.38      831.0  -860.38     860.38
  5.0  942.0   2092.87   1696.72      838.4  -858.32     858.32
  2.0  826.0   2163.39   1523.26      665.2  -858.06     858.06
  3.0  334.0   2449.89   1472.53      616.8  -855.73     855.73
  6.0  836.0   2035.17   1718.79      867.2  -851.59     851.59
  4.0  263.0   2469.06   1503.98      652.6  -851.38     851.38
  3.0  266.0   2178.16   1447.95      603.2  -844.75     844.75
  5.0  152.0   2444.81   1523.75      680.4  -843.35     843.35
  4.0  842.0   2464.29   1611.66      768.4  -843.26     843.26
  5.0   41.0   2314.68   1500.28      658.2  -842.08     842.08
 11.0 1156.0   2231.86   1988.56     1150.0  -838.56     838.56
  5.0  778.0   2423.47   1643.96      805.6  -838.36     838.36
 11.0 1116.0   2067.80   1987.44     1150.0  -837.44     837.44
  4.0  348.0   2047.08   1507.04      669.6  -837.44     837.44
  6.0  470.0   2235.72   1628.60      794.0  -834.60     834.60
  6.0  135.0   2488.22   1561.20      727.0  -834.20     834.20
  1.0  872.0   2420.07   1456.34      624.4  -831.94     831.94
  1.0  697.0   2148.50   1421.07      589.4  -831.67     831.67
  2.0 1158.0   2355.92   1528.91      700.0  -828.91     828.91
  4.0  275.0   2359.64   1483.58      655.0  -828.58     828.58
  2.0  798.0   2334.41   1485.40      659.6  -825.80     825.80
  1.0 1002.0   2320.13   1475.40      650.0  -825.40     825.40
  7.0  313.0   2408.02   1637.65      812.6  -825.05     825.05
  4.0  256.0   2218.74   1476.03      651.2  -824.83     824.83
  7.0  300.0   2417.85   1634.04      810.0  -824.04     824.04
  2.0  983.0   2109.93   1519.98      696.6  -823.38     823.38
  3.0  327.0   2141.92   1438.41      615.4  -823.01     823.01
  3.0  760.0   2073.25   1522.45      702.0  -820.45     820.45
  5.0 1077.0   2234.35   1665.23      850.0  -815.23     815.23
 14.0  267.0   2090.21   1968.40     1153.4  -815.00     815.00
  3.0  779.0   2110.90   1520.73      705.8  -814.93     814.93
  5.0 1085.0   2486.43   1664.83      850.0  -814.83     814.83
  5.0 1080.0   2383.82   1664.76      850.0  -814.76     814.76
  1.0  793.0   2171.07   1421.36      608.6  -812.76     812.76
  4.0  198.0   2106.63   1450.67      639.6  -811.07     811.07
  2.0  570.0   2297.12   1423.86      614.0  -809.86     809.86
